x,y,cluster,income_decile
-54.79552,39.14052,1,4.0
-2.606835,23.086016,1,8.0
8.958932,16.913982,3,9.0
-34.285114,-37.198696,4,4.0
36.029213,-12.933422,3,6.0
-34.214245,10.104869,1,4.0
-45.84368,-38.055267,4,7.0
35.403187,20.576902,3,8.0
-21.715052,52.069798,1,4.0
-25.096361,44.34791,1,1.0
-19.953165,25.221037,3,7.0
46.381363,-11.184647,3,6.0
41.758736,-7.5957136,3,10.0
-20.07141,24.501642,3,9.0
27.19883,6.745643,3,8.0
36.788742,-11.977604,3,7.0
-35.368813,-33.152374,4,5.0
-47.874943,-39.04393,4,5.0
-36.221806,-41.425243,4,6.0
-8.832236,21.92141,3,6.0
-51.84821,4.848103,1,9.0
-57.81063,39.872772,1,1.0
21.018913,36.827522,3,7.0
-1.0019406,53.5759,1,5.0
-39.25156,-30.615519,4,3.0
-59.59804,3.9884017,1,2.0
-57.702045,10.625569,1,2.0
28.366814,35.690266,3,5.0
63.91273,36.797558,0,7.0
-56.366203,5.7260013,1,2.0
63.55557,37.327682,0,5.0
12.80216,46.93961,3,9.0
27.405966,30.528461,3,8.0
27.396612,36.76181,3,4.0
-52.248188,5.272582,1,3.0
22.543306,6.433822,3,1.0
-7.595413,39.2951,1,3.0
22.609877,6.165761,3,4.0
22.61779,6.2894487,3,4.0
43.657413,-11.123172,3,7.0
-36.764076,-28.638844,4,3.0
22.614048,6.262863,3,1.0
48.99997,11.678904,3,5.0
23.92323,41.27975,3,5.0
-25.950745,-10.276095,3,7.0
-1.371481,40.133892,3,3.0
8.326038,7.8969884,3,2.0
25.043705,47.82223,1,4.0
-52.61618,-49.9201,4,5.0
32.3791,-54.45632,3,7.0
32.874367,-55.974606,3,7.0
21.595984,-12.105857,3,3.0
32.324802,-55.210102,3,4.0
-29.787573,14.767979,1,3.0
-52.63942,-30.569294,4,1.0
-45.70658,-44.245213,4,2.0
-50.196003,-49.31746,4,2.0
-32.35704,18.708992,1,1.0
-49.518745,-48.03179,4,1.0
-50.27547,-49.255013,4,2.0
-50.328636,-49.205517,4,1.0
-45.35892,-44.065197,4,3.0
40.278233,16.036743,3,10.0
14.579398,17.765898,2,10.0
-21.983742,52.23685,1,6.0
-37.302822,-15.972696,1,4.0
31.632532,-22.412504,1,4.0
-6.3407016,-21.040068,1,9.0
-31.224104,-9.304916,1,4.0
-40.31951,52.41046,1,3.0
-23.975498,27.936611,1,7.0
-25.401144,46.99798,1,2.0
27.669127,-12.4158325,3,10.0
33.892666,4.653539,3,10.0
33.86864,4.648968,3,10.0
62.899437,32.23926,0,10.0
-24.662083,46.64848,1,7.0
62.846222,32.26762,0,10.0
-8.592601,-5.847133,1,5.0
-4.4694715,-6.751065,2,10.0
11.301655,49.418777,1,8.0
-47.106953,8.976875,1,8.0
-50.27402,8.624167,1,7.0
8.911147,47.37005,3,9.0
11.10536,51.106575,3,7.0
11.767194,52.024582,1,6.0
-36.97808,20.082083,1,1.0
-28.357292,13.920062,1,4.0
-50.39905,9.297771,1,5.0
-49.13218,32.904324,1,1.0
