"recno","date","day","x4_1","x4_2","x4_3","x4_4","x4_5","x4_3drm"
29,1,15,4622,,11000,1,1,11000
29,1,16,4632,,6000,1,5,6000
29,1,16,4151,,5000,1,5,5000
29,1,16,4211,,8000,1,5,8000
29,1,16,4221,,5000,1,5,5000
29,1,16,4614,,2000,1,5,2000
29,1,13,2785,1,1150,1,1,1150
29,1,16,4613,,1100,1,5,1100
29,1,13,3512,10,1000,1,1,1000
30,1,16,4221,,20000,1,5,20000
30,1,1,2072,30,9000,1,1,9000
30,1,16,4632,,8800,1,5,8800
30,1,16,4211,,8000,1,5,8000
30,1,25,2831,,3000,1,1,3000
30,1,16,4151,,3000,1,5,3000
30,1,17,2785,1,2250,1,1,2250
30,1,17,3503,1,1150,1,1,1150
30,1,16,4613,,1100,1,5,1100
30,1,18,3505,2,900,1,1,900
30,1,19,2787,1,850,1,1,850
30,1,16,4161,,800,1,5,800
30,1,18,3495,2,700,1,1,700
30,1,18,3491,4,600,1,1,600
30,1,17,3512,4,600,1,1,600
30,1,18,3506,1,580,1,1,580
30,1,18,2790,1,480,1,1,480
30,1,19,2789,1,420,1,1,420
30,1,19,2787,1,400,1,1,400
30,1,19,2787,1,400,1,1,400
30,1,17,3574,1,150,1,1,150
30,1,17,2801,10,100,1,1,100
31,1,2,2831,,30000,1,1,30000
31,1,18,4221,,30000,1,5,30000
31,1,2,2073,60,8100,1,1,8100
31,1,18,4211,,9000,1,5,9000
31,1,18,4151,,4000,1,5,4000
31,1,18,4613,,1100,1,5,1100
31,1,19,2785,1,750,1,1,750
31,1,17,3512,8,500,1,1,500
31,1,19,3512,3,450,1,1,450
31,1,18,4161,,400,1,5,400
31,1,2,2831,,300,1,1,300
31,1,19,2782,1,250,1,1,250
31,1,19,3501,1,250,1,1,250
31,1,2,2831,,150,1,1,150
32,1,1,2071,30,9000,1,1,9000
32,1,17,4623,,6000,1,1,6000
32,1,18,4151,,5000,1,5,5000
32,1,18,4211,,8000,1,5,8000
32,1,18,4221,,5000,1,5,5000
32,1,1,4491,1,4000,1,6,4000
32,1,18,4613,,1100,1,5,1100
32,1,1,4483,,1000,1,6,1000
32,1,11,3512,4,600,1,1,600
32,1,11,2801,10,100,1,1,100
32,1,1,3574,1,100,1,1,100
33,1,20,2953,4,120000,1,6,120000
33,1,20,5249,,100000,1,6,100000
33,1,14,4221,,60000,1,5,60000
33,1,20,5151,,45000,1,6,45000
33,1,20,4425,,35000,1,6,35000
33,1,16,2831,,26000,1,1,26000
33,1,13,4623,,21000,1,1,21000
33,1,14,4211,,23000,1,5,23000
33,1,20,4901,,20000,1,5,20000
33,1,1,2991,,10000,1,6,10000
33,1,14,4632,,8000,1,5,8000
33,1,14,4151,,7000,1,5,7000
33,1,22,3013,1,6000,1,1,6000
33,1,13,3526,4,3500,1,1,3500
33,1,1,4373,,3000,1,5,3000
33,1,22,3014,1,2500,1,1,2500
33,1,13,3454,5,1500,1,1,1500
33,1,14,4613,,1100,1,5,1100
33,1,14,4614,,1000,1,5,1000
34,1,23,4211,,13000,1,5,13000
34,1,23,4221,,9000,1,5,9000
34,1,27,4623,,7000,1,1,7000
34,1,17,2831,,6000,1,1,6000
34,1,23,4632,,5700,1,5,5700
34,1,23,4151,,5000,1,5,5000
34,1,1,4491,,5000,1,6,5000
34,1,1,4483,,3000,1,6,3000
34,1,27,4622,,3000,1,1,3000
34,1,31,2991,,2350,1,6,2350
34,1,23,4613,,1100,1,5,1100
34,1,15,3461,10,1000,1,1,1000
34,1,23,4161,,1000,1,5,1000
34,1,22,4483,,1000,1,6,1000
34,1,15,2785,1,880,1,1,880
34,1,15,3512,8,800,1,1,800
34,1,24,4483,,600,1,6,600
34,1,29,4483,,600,1,6,600
34,1,15,3455,2,500,1,1,500
34,1,14,4483,,400,1,6,400
34,1,17,4483,,400,1,6,400
34,1,20,4483,,400,1,6,400
34,1,25,4483,,400,1,6,400
34,1,30,4483,,400,1,6,400
34,1,22,3512,1,300,1,1,300
34,1,19,4483,,300,1,6,300
34,1,15,3451,1,250,1,1,250
35,1,13,5151,,45000,1,6,45000
35,1,12,4221,,15000,1,5,15000
35,1,13,5249,,15000,1,5,15000
35,1,1,2072,30,12000,1,1,12000
35,1,1,3001,,10000,1,6,10000
35,1,13,4632,,8000,1,5,8000
35,1,13,4623,,6000,1,5,6000
35,1,13,2966,2,5000,1,6,5000
35,1,12,4211,,8000,1,5,8000
35,1,8,3522,1,4500,1,1,4500
35,1,12,4151,,3000,1,5,3000
35,1,8,3514,1,2800,1,1,2800
35,1,12,4161,,2000,1,5,2000
35,1,8,2785,1,1150,1,1,1150
35,1,9,3503,1,1150,1,1,1150
35,1,12,4613,,1100,1,5,1100
35,1,27,4991,,1000,1,6,1000
35,1,13,3014,1,750,1,6,750
35,1,27,3505,1,500,1,1,500
35,1,9,3491,3,450,1,1,450
35,1,9,3506,1,450,1,1,450
35,1,9,3512,3,450,1,1,450
35,1,27,3495,1,350,1,1,350
35,1,9,3501,1,280,1,1,280
35,1,9,3574,1,150,1,1,150
36,1,11,4501,,280000,1,6,280000
36,1,17,4221,,19000,1,5,19000
36,1,12,5023,,15000,1,6,15000
36,1,17,4211,,12000,1,5,12000
36,1,17,4151,,4000,1,5,4000
36,1,11,4484,,3000,1,6,3000
36,1,18,4491,,2000,1,6,2000
36,1,17,4613,,1100,1,5,1100
36,1,25,4491,,1000,1,6,1000
36,1,11,4491,,700,1,6,700
36,1,12,4491,,700,1,6,700
36,1,13,4491,,700,1,6,700
36,1,14,4491,,700,1,6,700
36,1,16,4491,,700,1,6,700
36,1,19,4491,,700,1,6,700
36,1,22,4491,,700,1,6,700
36,1,23,4491,,700,1,6,700
36,1,24,4491,,700,1,6,700
36,1,27,4491,,700,1,6,700
36,1,31,4491,,700,1,6,700
36,1,26,4483,,400,1,6,400
36,1,15,4483,,200,1,6,200
36,1,17,4483,,200,1,6,200
36,1,22,4483,,200,1,6,200
36,1,24,4483,,200,1,6,200
36,1,25,4483,,200,1,6,200
36,1,28,4483,,200,1,6,200
36,1,29,4483,,200,1,6,200
36,1,30,4483,,200,1,6,200
36,1,11,4483,,100,1,6,100
36,1,12,4483,,100,1,6,100
36,1,13,4483,,100,1,6,100
36,1,14,4483,,100,1,6,100
36,1,16,4483,,100,1,6,100
36,1,18,4483,,100,1,6,100
36,1,19,4483,,100,1,6,100
36,1,23,4483,,100,1,6,100
36,1,27,4483,,100,1,6,100
36,1,31,4483,,100,1,6,100
37,1,14,2831,,37000,1,5,37000
37,1,28,2831,,16000,1,5,16000
37,1,27,4368,,6000,1,5,6000
37,1,20,4211,,8300,1,5,8300
37,1,20,4071,,2900,1,5,2900
37,1,20,4221,,2000,1,5,2000
37,1,20,4613,,1100,1,5,1100
37,1,25,2790,1,650,1,1,650
37,1,22,2782,1,500,1,1,500
37,1,22,3512,1,500,1,1,500
37,1,20,4161,,400,1,5,400
37,1,12,4483,,200,1,6,200
37,1,17,4483,,200,1,6,200
37,1,23,4483,,200,1,6,200
37,1,24,4483,,200,1,6,200
37,1,26,4483,,200,1,6,200
37,1,27,4483,,200,1,6,200
37,1,30,4483,,200,1,6,200
37,1,20,4151,,170,1,5,170
38,1,24,4211,,5000,1,5,5000
38,1,24,3001,3,1800,1,3,1800
38,1,24,4613,,1100,1,5,1100
