"recno","y1_1","y1_2","y1_3","y1_3drm","y1_4","y1_5"
297,1,22,40000,3333.33333333333,1,4
297,2,1,2000,60000,1,1
298,1,3,28500,28500,1,3
298,2,2,100000,100000,1,3
299,1,3,24000,24000,1,3
299,3,1,150000,150000,1,3
299,4,1,60000,60000,1,3
300,1,1,100000,100000,1,3
301,1,1,110000,110000,1,3
301,3,1,90000,90000,1,3
302,1,1,75000,75000,1,3
302,1,3,50000,50000,1,3
302,2,1,92000,92000,1,3
302,3,1,120000,120000,1,3
303,1,1,115000,115000,1,3
303,2,1,125000,125000,1,3
304,1,3,42000,42000,1,3
304,2,3,32000,32000,1,3
305,1,21,80000,26666.6666666667,1,7
306,1,22,80000,20000,1,6
306,2,1,60000,60000,1,3
306,5,3,45000,45000,1,3
307,1,3,37000,37000,1,3
307,1,5,17000,17000,1,3
308,1,3,23000,23000,1,3
308,1,3,26000,26000,1,3
308,1,11,30000,30000,1,3
308,2,3,42000,42000,1,3
309,1,1,180000,180000,1,3
310,2,19,7000,17290,2,7
310,4,1,100000,100000,1,3
310,5,1,30000,30000,1,3
311,1,1,60000,60000,1,3
311,1,3,22600,22600,1,3
311,3,2,80000,80000,1,3
312,1,3,56000,56000,1,3
313,1,1,80000,80000,1,3
313,2,19,200,31715.3333333333,3,7
314,1,1,150000,150000,1,3
315,1,18,30000,10000,1,7
315,2,1,70000,70000,1,3
316,1,22,50000,50000,1,3
317,1,22,150000,150000,1,3
318,1,1,35000,35000,1,3
318,1,5,16000,16000,1,3
319,1,1,100000,100000,1,3
320,3,1,80000,80000,1,3
320,4,5,28000,28000,1,3
321,3,1,60000,60000,1,3
321,4,18,300,142719,3,3
322,1,3,39000,39000,1,3
322,3,5,28000,28000,1,3
323,1,3,23000,23000,1,3
323,2,1,100000,100000,1,3
323,3,5,30000,30000,1,3
324,1,22,150,71359.5,3,3
325,1,3,42000,42000,1,3
325,2,3,35000,35000,1,3
326,1,22,10000,74100,2,3
327,1,3,43000,43000,1,3
328,1,3,34000,34000,1,3
329,1,3,35000,35000,1,3
329,2,1,30000,30000,1,3
330,1,3,47000,47000,1,3
330,1,5,16000,16000,1,3
331,1,3,36000,36000,1,3
332,2,1,30000,30000,1,3
332,4,3,40000,40000,1,3
333,1,2,150000,150000,1,3
334,3,5,34000,34000,1,3
334,3,13,15000,15000,1,3
334,3,19,200,95146,3,3
335,1,22,300,142719,3,3
335,2,13,15000,15000,1,3
336,1,22,300,142719,3,3
336,2,13,15000,15000,1,3
337,1,2,85000,85000,1,3
337,2,13,30000,30000,1,3
337,3,22,200,31715.3333333333,3,7
338,1,13,15000,15000,1,3
338,2,1,80000,80000,1,3
339,1,3,52000,52000,1,3
339,1,13,10000,10000,1,3
339,1,19,2000,1235,2,4
340,1,3,46000,46000,1,3
340,1,5,10000,10000,1,3
340,1,13,10000,10000,1,3
340,2,3,32000,32000,1,3
341,1,1,65000,65000,1,3
342,1,3,56000,56000,1,3
342,1,13,50000,50000,1,3
342,3,22,250,9911.04166666667,3,4
343,1,22,30000,2500,1,4
344,1,22,35000,5833.33333333333,1,5
345,1,13,25000,25000,1,3
346,1,22,30000,30000,1,3
347,1,3,39000,39000,1,3
347,2,3,23000,23000,1,3
348,2,13,28000,4666.66666666667,1,5
349,2,5,27000,27000,1,3
350,1,3,47000,47000,1,3
351,1,3,36000,36000,1,3
352,1,3,33000,33000,1,3
353,1,1,189000,189000,1,3
353,1,19,100,47573,3,3
354,1,3,50000,50000,1,3
355,1,1,100000,100000,1,3
355,2,1,50000,50000,1,3
355,3,12,4600,4600,1,3
356,1,3,45000,45000,1,3
356,2,1,50000,50000,1,3
356,3,1,120000,120000,1,3
356,4,1,50000,50000,1,3
357,1,1,120000,120000,1,3
