"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
1633,11,10,20,25000,,,10,,,20,30000,,,,
1633,12,7,,,,,,,,,,,,,
1635,1,7,,,2,460000,,,,,,2,,,
1635,2,3,,,,,,,,,,,,,
1635,3,2,,,2,460000,,,,,,2,,,
1635,4,2,,,,,,,,,,,,,
1635,9,12,,,5,170000,1,10,20000,15,30000,2,,,
1635,11,12,30,45000,,,20,,,30,45000,,,,
1635,12,10,,,,,,,,,,,,,
1636,1,6,,,1,240000,1,90,180000,20,40000,2,4,,
1636,2,2,,,,,,,,,,,,,
1636,3,2,,,1,240000,1,90,180000,20,40000,2,4,,
1636,4,2,,,,,,,,,,,,,
1636,11,10,25,32000,,,15,,,25,38000,,,,
1636,12,7,,,,,,,,,,,,,
1636,19,8,,,,,,,,,,,,,
1637,1,6,,,2,490000,,,,,,2,,,
1637,2,2,,,,,,,,,,,,,
1637,3,1,,,1,210000,,,,,,2,,,
1637,4,2,,,,,,,,,,,,,
1637,5,1,,,1,280000,,,,,,2,,,
1637,9,6,,,4,130000,,,,,,2,,,
1637,11,15,30,45000,,,20,,,30,45000,,,,
1637,12,10,,,,,,,,,,,,,
1638,1,6,,,1,230000,1,100,200000,20,40000,2,3,,
1638,2,2,,,1,230000,1,100,200000,20,40000,2,3,,
1638,3,3,,,,,,,,,,,,,
1638,4,1,,,,,,,,,,,,,
1638,6,6,,,4,120000,1,60,150000,10,25000,2,3,,
1638,7,1,,,,,,,,,,,,,
1638,8,5,,,4,120000,1,60,150000,10,25000,2,3,,
1638,11,10,30,45000,,,20,,,35,50000,,,,
1638,12,6,,,,,,,,,,,,,
1640,1,5,,,2,130000,1,85,170000,10,20000,2,,,
1640,2,3,,,,,,,,,,,,,
1640,3,,,,,,1,85,170000,10,20000,2,,,
1640,4,2,,,2,130000,,,,,,2,,,
1640,9,18,,,2,70000,,,,,,2,,,
1640,11,9,,,,,3,,,3,4500,,,,
1642,1,8,,,,,2,160,320000,10,20000,2,,,
1642,2,4,,,,,,,,,,,,,
1642,3,1,,,,,2,160,320000,10,20000,2,,,
1642,4,3,,,,,,,,,,,,,
1642,11,6,,,,,4,,,4,6000,,,,
1642,12,6,,,,,4,,,4,6000,,,,
1643,1,10,,,2,120000,1,80,160000,10,20000,2,,,
1643,2,4,,,,,,,,,,,,,
1643,3,2,,,,,1,80,160000,10,20000,2,,,
1643,4,4,,,2,120000,,,,,,2,,,
1643,9,20,,,,,2,,,35,60000,,,,
1643,10,1,,,,,,,,,,,,,
1643,11,5,,,,,3,,,3,4500,,,,
1643,12,5,,,,,3,,,3,4500,,,,
1644,1,7,,,,,1,85,170000,5,10000,2,,,
1644,2,2,,,,,,,,,,,,,
1644,3,3,,,,,1,85,170000,5,10000,2,,,
1644,4,2,,,,,,,,,,,,,
1644,11,12,,,,,2,,,2,3000,,,,
1644,12,12,,,,,2,,,2,3000,,,,
1646,1,2,,,,,,,,,,,,,
1646,2,1,,,,,,,,,,,,,
1646,4,1,,,,,,,,,,,,,
1647,1,8,,,2,130000,,,,,,2,,,
1647,2,4,,,,,,,,,,,,,
1647,3,1,,,,,,,,,,,,,
1647,4,3,,,2,130000,,,,,,2,,,
1647,9,15,,,3,120000,,,,,,2,,,
1657,1,2,,,1,320000,,,,,,2,,,
1657,2,1,,,,,,,,,,,,,
1657,4,1,,,1,320000,,,,,,2,,,
1657,9,10,,,6,200000,2,,,35,85000,1,2,8,
1657,11,25,,,,,6,,,10,16000,,,,
1657,12,25,,,,,6,,,10,16000,,,,
1657,19,20,,,,,,,,,,,,,
1658,1,5,,,2,620000,,,,,,2,,,
