"recno","weight"
1189,185.768518518519
1190,185.768518518519
1191,185.768518518519
1192,185.768518518519
1193,185.768518518519
1194,185.768518518519
1195,185.768518518519
1196,185.768518518519
1197,185.768518518519
1198,126.657407407407
1199,126.657407407407
1200,126.657407407407
1201,126.657407407407
1202,126.657407407407
1203,126.657407407407
1204,126.657407407407
1205,126.657407407407
1206,126.657407407407
1207,126.657407407407
1208,126.657407407407
1209,126.657407407407
1210,126.657407407407
1211,126.657407407407
1212,126.657407407407
1213,126.657407407407
1214,126.657407407407
1215,126.657407407407
1216,117.453703703704
1217,117.453703703704
1218,117.453703703704
1219,117.453703703704
1220,117.453703703704
1221,117.453703703704
1222,117.453703703704
1223,117.453703703704
1224,117.453703703704
1225,117.453703703704
1226,117.453703703704
1227,117.453703703704
1228,117.453703703704
1229,117.453703703704
1230,117.453703703704
1231,117.453703703704
1232,117.453703703704
1233,117.453703703704
1234,117.314814814815
1235,117.314814814815
1236,117.314814814815
1237,117.314814814815
1238,117.314814814815
1239,117.314814814815
1240,117.314814814815
1241,117.314814814815
1242,117.314814814815
1243,51.4351851851852
1244,51.4351851851852
1245,51.4351851851852
1246,51.4351851851852
1247,51.4351851851852
1248,51.4351851851852
1249,51.4351851851852
1250,51.4351851851852
1251,51.4351851851852
1252,40.7453703703704
1253,40.7453703703704
1254,40.7453703703704
1255,40.7453703703704
1256,40.7453703703704
1257,40.7453703703704
1258,40.7453703703704
1259,40.7453703703704
1260,40.7453703703704
1261,40.7453703703704
1262,40.7453703703704
1263,40.7453703703704
1264,40.7453703703704
1265,40.7453703703704
1266,40.7453703703704
1267,40.7453703703704
1268,40.7453703703704
1269,40.7453703703704
1270,99.7962962962963
1271,99.7962962962963
1272,99.7962962962963
1273,99.7962962962963
1274,99.7962962962963
1275,99.7962962962963
1276,99.7962962962963
1277,99.7962962962963
1278,99.7962962962963
1279,138.212962962963
1280,138.212962962963
1281,138.212962962963
1282,138.212962962963
1283,138.212962962963
1284,138.212962962963
1285,138.212962962963
1286,138.212962962963
1287,138.212962962963
1288,99.7962962962963
1289,99.7962962962963
1290,99.7962962962963
1291,99.7962962962963
1292,99.7962962962963
1293,99.7962962962963
1294,99.7962962962963
1295,99.7962962962963
1296,99.7962962962963
1297,21.4814814814815
1298,21.4814814814815
1299,21.4814814814815
1300,21.4814814814815
1301,21.4814814814815
1302,21.4814814814815
1303,21.4814814814815
1304,21.4814814814815
1305,21.4814814814815
1306,247.472222222222
1307,247.472222222222
1308,247.472222222222
1309,247.472222222222
1310,247.472222222222
1311,247.472222222222
1312,247.472222222222
1313,247.472222222222
1314,247.472222222222
1315,164.703703703704
1316,164.703703703704
1317,164.703703703704
1318,164.703703703704
1319,164.703703703704
1320,164.703703703704
1321,164.703703703704
1322,164.703703703704
1323,164.703703703704
1324,24.0277777777778
1325,24.0277777777778
1326,24.0277777777778
1327,24.0277777777778
1328,24.0277777777778
1329,24.0277777777778
1330,24.0277777777778
1331,24.0277777777778
1332,24.0277777777778
1333,326.87962962963
1334,326.87962962963
1335,326.87962962963
1336,326.87962962963
1337,326.87962962963
1338,326.87962962963
1339,326.87962962963
1340,326.87962962963
1341,326.87962962963
1342,92.6574074074074
1343,92.6574074074074
1344,92.6574074074074
1345,92.6574074074074
1346,92.6574074074074
1347,92.6574074074074
1348,92.6574074074074
1349,92.6574074074074
1350,92.6574074074074
1351,294.296296296296
1352,294.296296296296
1353,294.296296296296
1354,294.296296296296
1355,294.296296296296
1356,294.296296296296
1357,294.296296296296
1358,294.296296296296
1359,294.296296296296
1360,164.703703703704
1361,164.703703703704
1362,164.703703703704
1363,164.703703703704
1364,164.703703703704
1365,164.703703703704
1366,164.703703703704
1367,164.703703703704
1368,164.703703703704
1369,118.388888888889
1370,118.388888888889
1371,118.388888888889
1372,118.388888888889
