marz,date,year,month,day,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Armavir,2016-02-29,2016,2,29,29.377586206896286,1.3853448275861575,70.62241379310372,266473.12068965513,377.42241379310536,654.275862068967,464.8620689655206,11.491379310345039,1319.301724137936,188.67241379310332,196.3448275862066,52.0,964.3534482758574,355.0,13260.810344827541,4.0,401.1982758620682,61.0,495.1095756239423,141.64086123673243,1.5010916030950632,13.322187977468685
Armavir,2016-03-01,2016,3,1,29.36666666666638,1.3833333333332802,70.63333333333362,266470.6666666666,377.50000000000205,654.3333333333348,465.00000000000364,11.500000000000227,1319.5000000000052,188.66666666666652,196.33333333333303,52.0,964.1666666666617,355.0,13258.999999999953,4.0,401.16666666666583,61.0,495.18871321392356,141.67134730211293,1.5011054569078788,13.322310930057425
Armavir,2016-03-02,2016,3,2,29.356451612902948,1.3814516129031744,70.64354838709706,266468.3709677419,377.57258064516327,654.387096774195,465.12903225806804,11.508064516129252,1319.6854838709728,188.6612903225805,196.322580645161,52.0,963.9919354838662,355.0,13257.306451612858,4.0,401.13709677419274,61.0,495.2627451529381,141.69986652456558,1.5011184169263192,13.322425950221083
Armavir,2016-03-03,2016,3,3,29.346236559139516,1.3795698924730686,70.65376344086049,266466.0752688172,377.6451612903245,654.4408602150552,465.25806451613244,11.516129032258277,1319.8709677419404,188.65591397849448,196.31182795698896,52.0,963.8172043010707,355.0,13255.612903225761,4.0,401.10752688171965,61.0,495.3367770919527,141.72838574701822,1.5011313769447596,13.322540970384741
Armavir,2016-03-04,2016,3,4,29.336021505376085,1.3776881720429628,70.66397849462392,266463.77956989245,377.7177419354857,654.4946236559153,465.38709677419683,11.524193548387302,1320.056451612908,188.65053763440847,196.30107526881693,52.0,963.6424731182751,355.0,13253.919354838667,4.0,401.07795698924656,61.0,495.4108090309672,141.75690496947087,1.5011443369632,13.3226559905484
Armavir,2016-03-05,2016,3,5,29.325806451612653,1.375806451612857,70.67419354838735,266461.4838709677,377.79032258064694,654.5483870967755,465.51612903226123,11.532258064516327,1320.2419354838755,188.64516129032245,196.2903225806449,52.0,963.4677419354796,355.0,13252.225806451572,4.0,401.04838709677347,61.0,495.48484096998175,141.7854241919235,1.5011572969816405,13.322771010712058
Armavir,2016-03-06,2016,3,6,29.31559139784922,1.3739247311827512,70.68440860215078,266459.18817204295,377.86290322580817,654.6021505376357,465.64516129032563,11.540322580645352,1320.427419354843,188.63978494623643,196.27956989247286,52.0,963.293010752684,355.0,13250.532258064477,4.0,401.0188172043004,61.0,495.5588729089963,141.81394341437615,1.5011702570000809,13.322886030875717
Armavir,2016-03-07,2016,3,7,29.30537634408579,1.3720430107526453,70.69462365591421,266456.89247311826,377.9354838709694,654.6559139784958,465.77419354839003,11.548387096774377,1320.6129032258107,188.63440860215042,196.26881720430083,52.0,963.1182795698885,355.0,13248.83870967738,4.0,400.9892473118273,61.0,495.63290484801087,141.84246263682883,1.5011832170185213,13.323001051039377
Armavir,2016-03-08,2016,3,8,29.29516129032236,1.3701612903225395,70.70483870967765,266454.5967741935,378.0080645161306,654.709677419356,465.90322580645443,11.556451612903402,1320.7983870967782,188.6290322580644,196.2580645161288,52.0,962.943548387093,355.0,13247.145161290286,4.0,400.9596774193542,61.0,495.70693678702537,141.87098185928147,1.5011961770369617,13.323116071203035
Armavir,2016-03-09,2016,3,9,29.284946236558927,1.3682795698924337,70.71505376344108,266452.30107526877,378.08064516129184,654.7634408602162,466.0322580645188,11.564516129032427,1320.9838709677458,188.62365591397838,196.24731182795676,52.0,962.7688172042974,355.0,13245.45161290319,4.0,400.9301075268811,61.0,495.78096872603993,141.89950108173412,1.501209137055402,13.323231091366694
