category,marz,year,value
Number of particulary serious offences,Gegharkunik,2017,11.0
Number of particulary serious offences,Gegharkunik,2018,9.0
Number of particulary serious offences,Gegharkunik,2019,5.0
Number of particulary serious offences,Gegharkunik,2020,8.0
Number of particulary serious offences,Gegharkunik,2021,2.0
Number of particulary serious offences,Gegharkunik,2022,32.0
Number of particulary serious offences,Gegharkunik,2023,91.0
Number of particulary serious offences,Gegharkunik,2024,67.0
Number of particulary serious offences,Lori,2016,15.0
Number of particulary serious offences,Lori,2017,11.0
Number of particulary serious offences,Lori,2018,13.0
Number of particulary serious offences,Lori,2019,15.0
Number of particulary serious offences,Lori,2020,23.0
Number of particulary serious offences,Lori,2021,24.0
Number of particulary serious offences,Lori,2022,62.0
Number of particulary serious offences,Lori,2023,50.0
Number of particulary serious offences,Lori,2024,99.0
Number of particulary serious offences,Kotayk,2016,24.0
Number of particulary serious offences,Kotayk,2017,8.0
Number of particulary serious offences,Kotayk,2018,6.0
Number of particulary serious offences,Kotayk,2019,20.0
Number of particulary serious offences,Kotayk,2020,15.0
Number of particulary serious offences,Kotayk,2021,20.0
Number of particulary serious offences,Kotayk,2022,29.0
Number of particulary serious offences,Kotayk,2023,42.0
Number of particulary serious offences,Kotayk,2024,35.0
Number of particulary serious offences,Shirak,2016,13.0
Number of particulary serious offences,Shirak,2017,11.0
Number of particulary serious offences,Shirak,2018,13.0
Number of particulary serious offences,Shirak,2019,16.0
Number of particulary serious offences,Shirak,2020,20.0
Number of particulary serious offences,Shirak,2021,10.0
Number of particulary serious offences,Shirak,2022,35.0
Number of particulary serious offences,Shirak,2023,104.0
Number of particulary serious offences,Shirak,2024,83.0
Number of particulary serious offences,Syunik,2016,14.0
Number of particulary serious offences,Syunik,2017,6.0
Number of particulary serious offences,Syunik,2018,24.0
Number of particulary serious offences,Syunik,2019,35.0
Number of particulary serious offences,Syunik,2020,32.0
Number of particulary serious offences,Syunik,2021,27.0
Number of particulary serious offences,Syunik,2022,42.0
Number of particulary serious offences,Syunik,2023,276.0
Number of particulary serious offences,Syunik,2024,284.0
Number of particulary serious offences,Vayots Dzor,2016,1.0
Number of particulary serious offences,Vayots Dzor,2017,1.0
Number of particulary serious offences,Vayots Dzor,2018,
Number of particulary serious offences,Vayots Dzor,2019,
Number of particulary serious offences,Vayots Dzor,2020,1.0
Number of particulary serious offences,Vayots Dzor,2021,5.0
Number of particulary serious offences,Vayots Dzor,2022,29.0
Number of particulary serious offences,Vayots Dzor,2023,13.0
Number of particulary serious offences,Vayots Dzor,2024,54.0
Number of particulary serious offences,Tavush,2016,12.0
Number of particulary serious offences,Tavush,2017,5.0
Number of particulary serious offences,Tavush,2018,6.0
Number of particulary serious offences,Tavush,2019,8.0
Number of particulary serious offences,Tavush,2020,10.0
Number of particulary serious offences,Tavush,2021,6.0
Number of particulary serious offences,Tavush,2022,13.0
Number of particulary serious offences,Tavush,2023,51.0
Number of particulary serious offences,Tavush,2024,71.0
Number of particulary serious offences,Total Ra,2016,198.0
Number of particulary serious offences,Total Ra,2017,164.0
Number of particulary serious offences,Total Ra,2018,224.0
Number of particulary serious offences,Total Ra,2019,284.0
Number of particulary serious offences,Total Ra,2020,296.0
Number of particulary serious offences,Total Ra,2021,350.0
Number of particulary serious offences,Total Ra,2022,880.0
Number of particulary serious offences,Total Ra,2023,1679.0
Number of particulary serious offences,Total Ra,2024,2100.0
